library,profile_c604,term,overlap_size_c604,mean_r_c604,median_r_c604,auc_c604,p_value_c604,fdr_c604,rank_positive_c604,profile_mastl,overlap_size_mastl,mean_r_mastl,median_r_mastl,auc_mastl,p_value_mastl,fdr_mastl,rank_positive_mastl
Reactome_2022,C-604 2 uM endpoint,Viral mRNA Translation R-HSA-192823,68,0.016198881430925995,0.017694590086657577,0.6226045124240979,0.0002368146054328531,0.008488892779362272,39,MASTL dependency profile,68,0.025453097157893203,0.017873201884142605,0.6372677747569616,4.5527500235016265e-05,0.0015911861332138185,40
Reactome_2022,C-604 2 uM endpoint,DNA Double Strand Break Response R-HSA-5693606,52,0.01492180880652333,0.014779049695641863,0.603465866029266,0.00493174226719262,0.08839199601968312,78,MASTL dependency profile,52,0.03561044397744349,0.030305072816099884,0.6862487442594719,1.6978585519348516e-06,0.00014123045242621325,16
Reactome_2022,C-604 2 uM endpoint,Meiotic Synapsis R-HSA-1221632,46,0.014355163104576992,0.010253023972442099,0.6141839622761031,0.003691742001142073,0.0737293616799517,70,MASTL dependency profile,46,0.03325640515731331,0.029691752857713603,0.6659182939128407,4.9535832997827745e-05,0.001610490570487516,43
Reactome_2022,C-604 2 uM endpoint,Selenocysteine Synthesis R-HSA-2408557,68,0.014350253072737273,0.017694590086657577,0.6143372269839253,0.0005579323129745785,0.016287522236208,47,MASTL dependency profile,68,0.026030677742780003,0.018760999154249516,0.6415029246992915,2.7416928914473868e-05,0.0010951104749266991,35
Reactome_2022,C-604 2 uM endpoint,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,85,0.014269945673752277,0.019267914401517178,0.6085156679494228,0.00027308257599511555,0.008990521978033674,42,MASTL dependency profile,85,0.02358366968018653,0.016896548853170344,0.6289069936053164,2.0072289333227726e-05,0.0008527895083582034,32
Reactome_2022,C-604 2 uM endpoint,Meiosis R-HSA-1500620,72,0.013648729553537055,0.00840509174368791,0.5993501819101539,0.0017837290288648792,0.042265308175476295,59,MASTL dependency profile,72,0.030231845438511692,0.028043402528374173,0.6514174254805821,4.471244503506675e-06,0.0002604499923292638,24
Reactome_2022,C-604 2 uM endpoint,Translation R-HSA-72766,255,0.01339885247653164,0.019267914401517178,0.6115041934177801,4.61916251686741e-10,7.175099109534044e-08,9,MASTL dependency profile,255,0.016373322682603816,0.016896548853170344,0.5932744022147179,1.5184036835444882e-07,3.761610004663531e-05,5
Reactome_2022,C-604 2 uM endpoint,Chromosome Maintenance R-HSA-73886,98,0.012859841684298063,0.013326426356353095,0.5933118439402417,0.0007096421178593227,0.01871848454277987,53,MASTL dependency profile,98,0.038147640530752466,0.04020984086909252,0.6960351660832695,1.0193369229803698e-11,1.246717322193378e-08,1
Reactome_2022,C-604 2 uM endpoint,GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,86,0.012817476116577327,0.018662173564802077,0.601341227006033,0.0005825065182900591,0.016619267603459238,49,MASTL dependency profile,86,0.023853481282114106,0.01712580249675648,0.6306139056670933,1.423905453812992e-05,0.0006864206291139871,29
Reactome_2022,C-604 2 uM endpoint,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,75,0.01140449906603305,0.01733274744522818,0.5928437439190504,0.002725131255365031,0.05772323477273202,66,MASTL dependency profile,75,0.024893148917500333,0.017355056140342617,0.6330246949617607,3.418251699790728e-05,0.0012637247270603739,37
Reactome_2022,C-604 2 uM endpoint,Cap-dependent Translation Initiation R-HSA-72737,93,0.011157362831464082,0.01733274744522818,0.5863677379139082,0.0020051611723065615,0.04595434948991103,61,MASTL dependency profile,93,0.021807107302486868,0.016896548853170344,0.6196271907086116,3.3684181753359824e-05,0.0012637247270603739,36
Reactome_2022,C-604 2 uM endpoint,DNA Repair R-HSA-73894,282,0.011091421656772817,0.008315146325630149,0.5770928230202464,4.341434750212848e-06,0.0003034662890398781,20,MASTL dependency profile,282,0.010730664510634452,0.009054053370456405,0.5481856259969606,0.0027187245822967564,0.03959142672969652,96
Reactome_2022,C-604 2 uM endpoint,Reproduction R-HSA-1474165,97,0.008968609634795361,0.00915009814187313,0.5774364920010895,0.004214425754733923,0.08034425783139555,73,MASTL dependency profile,97,0.019956133898118813,0.023253262369174913,0.6000859357627161,0.0003309085188525033,0.007461453376706446,62
Reactome_2022,C-604 2 uM endpoint,Selenoamino Acid Metabolism R-HSA-2408522,91,0.008683309033811868,0.01222058844011176,0.5767728239973186,0.0057000682117624435,0.09486542095290353,84,MASTL dependency profile,91,0.02175912645527259,0.016896548853170344,0.6153409495897663,7.197650820567179e-05,0.002053533846357738,49
