library,profile,term,overlap_size,mean_r,median_r,auc,p_value,fdr,rank_positive
Reactome_2022,MASTL dependency profile,RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243,32,0.028394582265114134,0.026301017137495164,0.6577913900535756,0.0010038782863131567,0.018226257717737573,77
Reactome_2022,MASTL dependency profile,Metabolism Of Nucleotides R-HSA-15869,92,0.015474306726746958,0.014008819870905088,0.5922706160944773,0.001115878418031302,0.01999997472317641,78
Reactome_2022,MASTL dependency profile,HDR Thru Homologous Recombination (HRR) R-HSA-5685942,62,0.02018858910212757,0.016599812312141703,0.6113751924155347,0.0012133674641812838,0.021218184135054594,79
Reactome_2022,MASTL dependency profile,Dual Incision In TC-NER R-HSA-6782135,57,0.02010263174119656,0.023120118334215522,0.6161325340528085,0.0012142022394881027,0.021218184135054594,80
Reactome_2022,MASTL dependency profile,Translesion Synthesis By POLI R-HSA-5656121,15,0.03630435278384376,0.02278608364144249,0.7235829115519615,0.0013576366940289668,0.023431803682129576,81
Reactome_2022,MASTL dependency profile,Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913,61,0.019870693194597198,0.01475011711741904,0.6097484706753127,0.0015186781969084083,0.025891611210706766,82
Reactome_2022,MASTL dependency profile,Nonhomologous End-Joining (NHEJ) R-HSA-5693571,43,0.02633436522859404,0.019870926407215682,0.6304004618368041,0.0015465860112092637,0.026049725827356034,83
Reactome_2022,MASTL dependency profile,Translesion Synthesis By REV1 R-HSA-110312,14,0.03726994343687242,0.025818872139603394,0.7264979639325189,0.0016707389156615548,0.027805869096367303,84
Reactome_2022,MASTL dependency profile,RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,54,0.02161119280352031,0.028225925673685537,0.6145524241442609,0.001799351533164031,0.029594040510156648,85
Reactome_2022,MASTL dependency profile,tRNA Aminoacylation R-HSA-379724,42,0.02183998829720821,0.027480845460400822,0.6290447888746455,0.0019054159256207018,0.03097408679090397,86
Reactome_2022,MASTL dependency profile,Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190,39,0.024713576345721792,0.0197656741429776,0.6334222142553049,0.0019695968811220058,0.03103257550084786,87
Reactome_2022,MASTL dependency profile,Epigenetic Regulation Of Gene Expression R-HSA-212165,101,0.015501011176127295,0.012215650992497353,0.5830457629169337,0.001972384393914953,0.03103257550084786,88
Reactome_2022,MASTL dependency profile,"Gamma Carboxylation, Hypusine Formation And Arylsulfatase Activation R-HSA-163841",42,0.02593617214431028,0.019991201668776555,0.6284662682227069,0.0019856106359143525,0.03103257550084786,89
Reactome_2022,MASTL dependency profile,VLDLR Internalisation And Degradation R-HSA-8866427,14,0.033292716307712265,0.03757559436886573,0.7221806698246489,0.001997805289754154,0.03103257550084786,90
Reactome_2022,MASTL dependency profile,Negative Epigenetic Regulation Of rRNA Expression R-HSA-5250941,64,0.01973959818745432,0.013568974516332915,0.6031651108518087,0.0021615018444802506,0.03320636899542188,91
Reactome_2022,MASTL dependency profile,Purine Ribonucleoside Monophosphate Biosynthesis R-HSA-73817,10,0.03984914060052228,0.056539854932305164,0.7592939397464231,0.002259336587676749,0.034260073520349134,92
Reactome_2022,MASTL dependency profile,Metabolism Of Steroids R-HSA-8957322,150,0.012475910087804727,0.012782095178591685,0.5671572651577342,0.002279103603285028,0.034260073520349134,93
Reactome_2022,MASTL dependency profile,Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,12,0.036243552470425516,0.04094859096812922,0.7350075616565844,0.002408705592295209,0.035823089553496834,94
Reactome_2022,MASTL dependency profile,NOD1/2 Signaling Pathway R-HSA-168638,33,0.024829568029412573,0.020857052338289342,0.6403820394851785,0.0026289939386983214,0.03868772132947635,95
Reactome_2022,MASTL dependency profile,DNA Repair R-HSA-73894,282,0.010730664510634452,0.009054053370456405,0.5481856259969606,0.0027187245822967564,0.03959142672969652,96
Reactome_2022,MASTL dependency profile,Condensation Of Prometaphase Chromosomes R-HSA-2514853,10,0.04446114738035688,0.04730599264640696,0.7518145864836571,0.0029115767963451594,0.041962725374129206,97
Reactome_2022,MASTL dependency profile,HATs Acetylate Histones R-HSA-3214847,96,0.011727280242115097,0.024163125432971725,0.5804503010287585,0.003236020557154403,0.04616282386634546,98
