gene,profile,n_models,pearson_r,p_value,fdr,rank_positive
ARHGEF17,MASTL dependency strength vs dependency strength,1165,-0.013571881021287811,0.6435358450101021,0.8450349098414008,10883
KIF21A,MASTL dependency strength vs dependency strength,1165,-0.01357956046174554,0.643348130297315,0.8449365644217596,10884
MUC5B,MASTL dependency strength vs dependency strength,1165,-0.01358139751613996,0.6433032290743289,0.8449365644217596,10885
TRPA1,MASTL dependency strength vs dependency strength,1165,-0.013589238773398666,0.6431115879509918,0.8448658010009888,10886
NLRP2,MASTL dependency strength vs dependency strength,1165,-0.01361383235096322,0.64251067227947,0.8443780922691927,10887
FAM161A,MASTL dependency strength vs dependency strength,1165,-0.013622261225689701,0.6423047761873905,0.8442364863265235,10888
TTYH1,MASTL dependency strength vs dependency strength,1165,-0.013626512396250498,0.6422009412552414,0.844164501326037,10889
GNAZ,MASTL dependency strength vs dependency strength,1165,-0.013631352898106696,0.6420827203976324,0.8440735937740405,10890
GTDC1,MASTL dependency strength vs dependency strength,1165,-0.013633545857202011,0.6420291641585691,0.8440676860907859,10891
MTERF1,MASTL dependency strength vs dependency strength,1165,-0.013635043946184292,0.6419925790404305,0.8440676860907859,10892
GAST,MASTL dependency strength vs dependency strength,1165,-0.013648346087534482,0.6416677629678038,0.8438768552608458,10893
ICE2,MASTL dependency strength vs dependency strength,1165,-0.01364986987820784,0.6416305589148266,0.8438768552608458,10894
GPR31,MASTL dependency strength vs dependency strength,1165,-0.013650416342725923,0.6416172169501618,0.8438768552608458,10895
KLF3,MASTL dependency strength vs dependency strength,1165,-0.013660144366042638,0.6413797260093036,0.8438387517493288,10896
GCFC2,MASTL dependency strength vs dependency strength,1165,-0.013676850047254456,0.6409719745068666,0.843637745435337,10897
MYDGF,MASTL dependency strength vs dependency strength,1165,-0.013681648375250129,0.6408548771286521,0.8436198107063532,10898
LAMA2,MASTL dependency strength vs dependency strength,1165,-0.013683501998050495,0.6408096441012247,0.8436198107063532,10899
